,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,_RA.icrs,_DE.icrs,id
2G3454989+0030784,345.499,0.3079,0.28999999165534973,0.6200000047683716,0.4300000071525574,0.5299999713897705,0.18000000715255737,33,58,0.7099999785423279,0.10999999940395355,0.15000000596046448,R,,1G345496+003070,G345.493+00.303,13.899999618530273,,256.1333,-40.7685,2144
2G3455103+0015943,345.5104,0.1594,0.07000000029802322,0.27000001072883606,0.23000000417232513,0.25,0.11999999731779099,39,102,0.4699999988079071,0.18000000715255737,0.25,R,,1G345511+001596,G345.510+00.160,,,256.2985,-40.8494,2145
2G3455687+0001431,345.5687,0.0143,0.27000001072883606,1.5099999904632568,1.1699999570846558,1.350000023841858,0.25,87,112,0.6299999952316284,0.07000000029802322,0.10000000149011612,C,,1G345568+000156,,,,256.4979,-40.8906,2146
2G3455814-0003513,345.5815,-0.0351,0.46000000834465027,1.7300000190734863,1.7200000286102295,1.7300000190734863,0.3499999940395355,36,77,0.07999999821186066,0.05000000074505806,0.20000000298023224,R,,1G345580-000391,G345.586-00.040,,,256.5603,-40.9102,2147
2G3455977-0022089,345.5978,-0.2209,0.10000000149011612,0.41999998688697815,0.36000001430511475,0.4000000059604645,0.10999999940395355,35,107,0.5199999809265137,0.27000001072883606,0.3499999940395355,R,,1G345598-002201,G345.599-00.221,,,256.7698,-41.009,2148
2G3456024-0006257,345.6025,-0.0626,0.1599999964237213,0.4099999964237213,0.3100000023841858,0.36000001430511475,0.09000000357627869,5,58,0.6499999761581421,,0.12999999523162842,C,,1G345604-000666,,,,256.6061,-40.91,2149
2G3456297-0023193,345.6298,-0.2319,0.18000000715255737,0.5,0.41999998688697815,0.46000000834465027,0.10999999940395355,51,60,0.5400000214576721,0.10999999940395355,0.15000000596046448,R,,1G345630-002320,G345.631-00.234,,,256.8069,-40.99,2150
2G3456558+0001375,345.6559,0.0138,0.27000001072883606,0.6899999976158142,0.5899999737739563,0.6399999856948853,0.12999999523162842,42,120,0.5299999713897705,,0.18000000715255737,C,,1G345653+000114,G345.651+00.015,15.199999809265137,,256.568,-40.8214,2151
2G3456940-0005476,345.6941,-0.0548,0.3799999952316284,0.699999988079071,0.5400000214576721,0.6200000047683716,0.20999999344348907,21,105,0.6399999856948853,0.17000000178813934,0.20999999344348907,R,,1G345692-000553,G345.696-00.055,,,256.6708,-40.8322,2152
2G3457087+0016103,345.7087,0.161,0.4300000071525574,0.9800000190734863,0.6600000262260437,0.8399999737739563,0.20999999344348907,3,81,0.7400000095367432,0.15000000596046448,0.11999999731779099,R,,1G345715+001570,G345.711+00.159,,,256.4551,-40.6904,2153
2G3457835-0017252,345.7835,-0.1725,0.10999999940395355,0.3799999952316284,0.3499999940395355,0.3700000047683716,0.10000000149011612,35,96,0.38999998569488525,0.25999999046325684,0.28999999165534973,R,,1G345784-001726,G345.783-00.172,,,256.8661,-40.8315,2154
2G3458390+0001208,345.8391,0.0121,0.05000000074505806,0.2800000011920929,0.25,0.27000001072883606,0.019999999552965164,28,52,0.5,,0.28999999165534973,C,,,G345.839+00.011,,,256.7154,-40.6761,2155
2G3459115-0025809,345.9115,-0.2581,0.28999999165534973,1.2200000286102295,0.9100000262260437,1.0800000429153442,0.25,31,60,0.6700000166893005,0.17000000178813934,0.20000000298023224,R,,1G345913-002554,G345.915-00.257,,,257.058,-40.7803,2156
